"Description","Discharge","WUA","HHS","WA_tot"
"Tanno 2012 Baetis sp.",7,43849.642472801,0.306075793449862,143264
"Tanno 2012 Baetis sp.",3.9,53405.6563619275,0.453127917545626,117860
"Tanno 2012 Baetis sp.",4.6,51809.5485119164,0.423418997318702,122360
"Tanno 2012 Baetis sp.",11.4,36720.1297108036,0.212766709027509,172584
"Tanno 2012 Baetis sp.",13.3,36728.8854930566,0.198719271393169,184828
"Tanno 2012 Baetis sp.",32.69,52739.119427472,0.204993623198296,257272
"Tanno 2012 Rhithrogena sp.",7,24758.0878143197,0.17281443917746,143264
"Tanno 2012 Rhithrogena sp.",3.9,36479.5112671201,0.309515622493807,117860
"Tanno 2012 Rhithrogena sp.",4.6,32964.6183055063,0.269406818449708,122360
"Tanno 2012 Rhithrogena sp.",11.4,25406.7977777814,0.147214097354224,172584
"Tanno 2012 Rhithrogena sp.",13.3,27950.9569806422,0.151226854051563,184828
"Tanno 2012 Rhithrogena sp.",32.69,42341.009629944,0.164576827754066,257272
"HABBY Rhithrogena eaton larva",7,28439.2181412033,0.198509172864106,143264
"HABBY Rhithrogena eaton larva",3.9,16359.2377683947,0.138802288888467,117860
"HABBY Rhithrogena eaton larva",4.6,19502.6141846605,0.159387170518638,122360
"HABBY Rhithrogena eaton larva",11.4,39458.1656256106,0.228631655458273,172584
"HABBY Rhithrogena eaton larva",13.3,43098.4753132773,0.233181527221402,184828
"HABBY Rhithrogena eaton larva",32.69,71062.9772689114,0.276217300246087,257272
